Target,Component_ID,Baseline_Relevance,Scenario_Relevance,T_mid,I_mid,F_mid,Net_mid,Diagnostic,Delta_T,Delta_I,Delta_F,Delta_Net,Diagnostic_changed
H21,M01,M,L,0.4052776832787608,0.6312991042965685,0.08358740815932403,0.32169027511943676,Mixed / weak,-0.05259482161928575,0.0076438883022678095,0.0,-0.05259482161928575,False
H21,M01,M,H,0.5155172452298594,0.6175318594558523,0.08358740815932403,0.4319298370705354,Moderate support,0.05764474033181288,-0.006123356538448421,0.0,0.05764474033181288,True
H21,M02,M,L,0.45787250489804654,0.6071284576506303,0.08358740815932403,0.3742850967387225,Mixed / weak,0.0,-0.016526758343670456,0.0,0.0,False
H21,M02,M,H,0.45787250489804654,0.635380188519923,0.08358740815932403,0.3742850967387225,Mixed / weak,0.0,0.011724972525622213,0.0,0.0,False
H21,M03,H,M,0.3974933047983179,0.6942618327306755,0.08358740815932403,0.3139058966389939,"Indeterminate, support-leaning",-0.060379200099728636,0.0706066167363748,0.0,-0.060379200099728636,True
H21,M03,H,VH,0.5225659505010788,0.5476732402657162,0.08358740815932403,0.43897854234175476,Moderate support,0.06469344560303225,-0.07598197572858456,0.0,0.06469344560303225,True
H21,M04,M,L,0.45787250489804654,0.6236552159943007,0.08358740815932403,0.3742850967387225,Mixed / weak,0.0,0.0,0.0,0.0,False
H21,M04,M,H,0.45787250489804654,0.6236552159943007,0.08358740815932403,0.3742850967387225,Mixed / weak,0.0,0.0,0.0,0.0,False
H21,M06,L,VL,0.45787250489804654,0.6522447844343842,0.03785547552957208,0.42001702936847446,"Indeterminate, support-leaning",0.0,0.028589568440083424,-0.04573193262975195,0.04573193262975195,True
H21,M06,L,M,0.45787250489804654,0.5909562371984208,0.1344485657931649,0.32342393910488165,Mixed / weak,0.0,-0.03269897879587991,0.05086115763384086,-0.05086115763384086,False
H21,M07,L,VL,0.4473789355584898,0.6328702860780897,0.08358740815932403,0.36379152739916576,Mixed / weak,-0.010493569339556752,0.009215070083788968,0.0,-0.010493569339556752,False
H21,M07,L,M,0.48595139378735214,0.6146583530657747,0.08358740815932403,0.4023639856280281,Mixed / weak,0.028078888889305598,-0.008996862928526084,0.0,0.028078888889305598,False
H21,M08,M,L,0.45787250489804654,0.6236552159943007,0.08358740815932403,0.3742850967387225,Mixed / weak,0.0,0.0,0.0,0.0,False
H21,M08,M,H,0.45787250489804654,0.6236552159943007,0.08358740815932403,0.3742850967387225,Mixed / weak,0.0,0.0,0.0,0.0,False
H21,M09,M,L,0.45787250489804654,0.6128376787192439,0.08358740815932403,0.3742850967387225,Mixed / weak,0.0,-0.010817537275056854,0.0,0.0,False
H21,M09,M,H,0.45787250489804654,0.6316084393375059,0.08358740815932403,0.3742850967387225,Mixed / weak,0.0,0.00795322334320514,0.0,0.0,False
H33,M01,H,M,0.3974933047983179,0.6573610003435748,0.2461983996404984,0.15129490515781951,"Indeterminate, support-leaning",-0.06525021940452508,0.006553686884493315,0.0,-0.06525021940452508,False
H33,M01,H,VH,0.5398767122222954,0.6461113881722911,0.2461983996404984,0.293678312581797,Moderate support,0.0771331880194524,-0.004695925286790414,0.0,0.0771331880194524,True
H33,M02,M,L,0.462743524202843,0.6273810469133813,0.2461983996404984,0.2165451245623446,Mixed / weak,0.0,-0.023426266545700236,0.0,0.0,True
H33,M02,M,H,0.462743524202843,0.6669182595313969,0.2461983996404984,0.2165451245623446,"Indeterminate, support-leaning",0.0,0.016110946072315446,0.0,0.0,False
H33,M03,M,L,0.4388606789689802,0.6966749073136242,0.2461983996404984,0.1926622793284818,"Indeterminate, support-leaning",-0.023882845233862804,0.045867593854542754,0.0,-0.023882845233862804,False
H33,M03,M,H,0.5155172452298594,0.5852160674101855,0.2461983996404984,0.26931884558936103,Moderate support,0.05277372102701644,-0.06559124604889599,0.0,0.05277372102701644,True
H33,M04,M,L,0.462743524202843,0.6508073134590815,0.2461983996404984,0.2165451245623446,"Indeterminate, support-leaning",0.0,0.0,0.0,0.0,False
H33,M04,M,H,0.4751239412304085,0.6508073134590815,0.2461983996404984,0.22892554158991013,"Indeterminate, support-leaning",0.012380417027565538,0.0,0.0,0.012380417027565538,False
H33,M05,L,VL,0.462743524202843,0.6508073134590815,0.1807201364554557,0.2820233877473873,"Indeterminate, support-leaning",0.0,0.0,-0.06547826318504268,0.06547826318504268,False
H33,M05,L,M,0.462743524202843,0.6158753261455765,0.33439152303316144,0.12835200116968154,Contradictory / contested,0.0,-0.034931987313505,0.08819312339266305,-0.08819312339266305,True
H33,M06,M,L,0.462743524202843,0.6872658725346272,0.20270950138506283,0.26003402281778015,"Indeterminate, support-leaning",0.0,0.03645855907554574,-0.04348889825543556,0.04348889825543556,False
